time_of_day,activity,tail_position,ear_direction,food_eaten,mood
18.3,grooming,up,forward,0.87,happy
20.3,hunting,down,flat,0.2,anxious
21.8,hunting,swishing,rotating,0.5,playful
12.0,sleeping,tucked,backward,0.54,sleepy
15.1,grooming,up,backward,0.77,sleepy
22.3,playing,down,forward,0.01,grumpy
6.7,eating,up,flat,0.1,anxious
14.9,grooming,up,forward,0.99,happy
23.1,sleeping,tucked,backward,0.69,sleepy
17.6,sleeping,tucked,backward,0.45,sleepy
23.6,sleeping,tucked,backward,0.79,sleepy
3.0,hunting,swishing,rotating,0.2,anxious
11.2,grooming,swishing,rotating,0.4,anxious
13.3,playing,up,forward,0.33,playful
8.9,hiding,puffed,flat,0.11,anxious
18.6,eating,up,rotating,0.69,sleepy
5.6,hunting,puffed,flat,0.11,anxious
12.4,sleeping,tucked,backward,0.4,sleepy
16.1,hunting,swishing,backward,0.27,grumpy
7.2,hiding,down,backward,0.26,grumpy
4.5,hunting,tucked,flat,0.37,anxious
24.0,sleeping,tucked,flat,0.34,anxious
23.9,hiding,puffed,flat,0.27,anxious
11.9,grooming,down,backward,0.77,sleepy
0.4,sleeping,down,forward,0.06,grumpy
10.1,grooming,up,forward,0.74,happy
21.5,hunting,puffed,rotating,0.19,anxious
17.8,grooming,down,rotating,0.51,playful
5.8,grooming,tucked,backward,0.52,sleepy
13.5,playing,down,rotating,0.08,grumpy
23.9,grooming,down,backward,0.14,grumpy
4.4,hunting,swishing,rotating,0.62,playful
12.3,grooming,tucked,flat,0.98,happy
1.0,eating,puffed,rotating,0.44,sleepy
7.5,playing,puffed,backward,0.81,happy
16.8,sleeping,swishing,backward,0.62,happy
0.0,playing,tucked,backward,0.47,playful
11.7,hiding,swishing,backward,0.15,grumpy
20.2,eating,up,forward,0.91,happy
16.4,playing,tucked,forward,0.49,playful
11.1,playing,down,rotating,0.01,grumpy
22.1,hunting,swishing,forward,0.46,sleepy
14.9,sleeping,puffed,forward,0.64,happy
0.1,playing,up,rotating,0.64,playful
20.5,grooming,swishing,backward,0.23,grumpy
23.6,hiding,down,backward,0.18,grumpy
19.2,eating,up,forward,0.73,happy
1.9,grooming,tucked,backward,0.73,happy
17.4,sleeping,down,forward,0.47,sleepy
14.3,grooming,tucked,backward,0.76,sleepy
12.2,hunting,up,flat,0.05,grumpy
14.0,hiding,tucked,rotating,0.4,anxious
14.9,grooming,puffed,forward,0.81,happy
15.9,hunting,up,backward,0.52,sleepy
21.0,playing,up,forward,0.39,playful
16.3,grooming,swishing,forward,0.46,playful
10.1,hunting,swishing,forward,0.69,playful
9.8,hunting,tucked,flat,0.26,anxious
3.6,hunting,puffed,flat,0.3,anxious
21.9,hiding,swishing,flat,0.26,grumpy
9.1,eating,tucked,rotating,0.95,happy
13.7,hiding,puffed,rotating,0.33,anxious
2.4,hunting,puffed,flat,0.34,anxious
9.1,eating,swishing,backward,0.79,sleepy
7.7,grooming,up,forward,0.76,happy
14.4,grooming,tucked,backward,0.56,sleepy
9.5,hunting,up,forward,0.45,playful
22.9,sleeping,down,flat,0.2,anxious
6.7,playing,tucked,rotating,0.36,anxious
6.2,playing,tucked,flat,0.49,playful
15.7,eating,up,forward,0.98,happy
18.4,eating,down,backward,0.19,anxious
22.9,grooming,swishing,flat,0.29,grumpy
2.3,sleeping,puffed,backward,0.52,playful
6.1,grooming,down,backward,0.47,sleepy
7.1,sleeping,puffed,backward,0.59,playful
5.0,hunting,up,forward,0.61,playful
6.3,hiding,tucked,flat,0.13,anxious
10.8,grooming,down,backward,0.57,sleepy
21.0,eating,up,forward,0.94,happy
3.9,hiding,puffed,flat,0.17,anxious
12.4,grooming,up,forward,0.91,happy
3.2,hiding,swishing,flat,0.13,grumpy
3.9,hiding,swishing,backward,0.29,grumpy
2.9,grooming,up,backward,0.01,grumpy
9.6,hiding,puffed,flat,0.79,happy
17.8,grooming,puffed,rotating,0.63,playful
1.2,eating,puffed,rotating,0.1,grumpy
19.0,sleeping,tucked,backward,0.7,sleepy
0.1,playing,puffed,flat,0.29,anxious
3.1,playing,up,rotating,0.48,playful
7.7,hunting,swishing,backward,0.97,happy
11.3,grooming,swishing,backward,0.18,grumpy
20.3,hunting,tucked,rotating,0.3,anxious
23.8,hiding,tucked,backward,0.9,happy
22.7,grooming,tucked,backward,0.52,sleepy
17.3,hiding,tucked,flat,0.27,anxious
8.2,hunting,up,forward,0.56,playful
16.0,hiding,tucked,flat,0.13,anxious
7.8,grooming,up,forward,0.61,happy
16.0,sleeping,tucked,backward,0.5,sleepy
16.2,hiding,down,rotating,0.51,sleepy
16.8,grooming,up,forward,0.82,happy
7.7,grooming,down,flat,0.19,grumpy
9.6,grooming,swishing,backward,0.01,grumpy
20.5,hunting,puffed,flat,0.38,anxious
8.0,hiding,tucked,flat,0.55,playful
23.5,eating,puffed,rotating,0.64,playful
11.5,grooming,tucked,backward,0.71,sleepy
6.2,eating,swishing,flat,0.19,anxious
20.7,hunting,up,forward,0.63,playful
20.1,playing,up,backward,0.62,playful
24.0,hiding,down,backward,0.12,grumpy
22.4,playing,up,backward,0.19,grumpy
6.5,hiding,puffed,forward,0.24,grumpy
4.2,hunting,up,forward,0.63,playful
16.5,eating,up,forward,0.8,happy
2.3,hunting,tucked,rotating,0.25,anxious
10.2,hunting,tucked,flat,0.24,anxious
20.0,hiding,down,backward,0.24,grumpy
19.2,grooming,down,backward,0.7,sleepy
2.3,hiding,down,backward,0.26,grumpy
0.0,playing,tucked,backward,0.62,happy
15.7,grooming,up,forward,0.61,happy
19.8,hiding,tucked,flat,0.36,anxious
9.5,eating,up,forward,0.64,happy
12.1,grooming,down,backward,0.7,sleepy
5.0,hunting,up,forward,0.39,playful
4.2,hunting,swishing,forward,0.15,anxious
3.3,grooming,up,forward,1.0,happy
23.4,grooming,tucked,backward,0.75,sleepy
6.9,hiding,swishing,flat,0.2,grumpy
17.1,hiding,down,flat,0.25,grumpy
6.2,grooming,up,rotating,0.49,playful
9.2,hiding,puffed,flat,0.27,anxious
16.2,sleeping,tucked,forward,0.63,sleepy
15.5,eating,up,forward,0.27,grumpy
22.5,hiding,puffed,forward,0.14,grumpy
16.3,eating,down,backward,0.38,playful
4.2,hiding,up,backward,0.47,playful
1.3,grooming,puffed,forward,0.11,grumpy
21.3,hiding,swishing,flat,0.06,grumpy
14.9,hunting,tucked,rotating,0.13,anxious
12.6,playing,puffed,rotating,0.93,happy
22.8,hiding,tucked,flat,0.2,anxious
12.0,hunting,swishing,rotating,0.69,playful
9.5,eating,up,forward,0.75,happy
4.6,sleeping,down,backward,0.53,sleepy
9.8,sleeping,down,backward,0.54,sleepy
9.4,hunting,swishing,forward,0.67,playful
15.8,playing,tucked,rotating,0.58,sleepy
2.3,playing,up,rotating,0.45,playful
13.5,grooming,swishing,rotating,0.06,grumpy
14.3,grooming,swishing,flat,0.28,grumpy
9.4,grooming,down,backward,0.78,sleepy
0.9,grooming,up,forward,0.6,happy
20.5,grooming,down,backward,0.7,sleepy
18.9,eating,up,forward,0.6,happy
6.5,hiding,puffed,rotating,0.53,playful
23.2,eating,swishing,forward,0.16,grumpy
21.1,hunting,swishing,rotating,0.54,playful
11.6,eating,up,forward,0.92,happy
10.2,grooming,up,forward,0.84,happy
19.1,sleeping,down,backward,0.45,sleepy
0.6,hiding,swishing,backward,0.26,grumpy
16.0,grooming,down,backward,0.47,sleepy
12.5,hunting,puffed,flat,0.24,anxious
2.3,eating,up,flat,0.74,happy
23.4,eating,up,forward,0.92,happy
10.3,grooming,swishing,rotating,0.55,playful
23.8,sleeping,down,backward,0.61,sleepy
21.7,hiding,down,flat,0.42,playful
1.4,hiding,down,flat,0.04,grumpy
13.6,hiding,swishing,flat,0.97,happy
7.5,hiding,puffed,flat,0.39,anxious
20.8,playing,up,rotating,0.13,anxious
20.2,grooming,up,forward,0.99,happy
13.0,hiding,puffed,rotating,0.16,grumpy
11.0,grooming,down,backward,0.59,sleepy
1.9,hiding,tucked,flat,0.13,anxious
0.8,grooming,swishing,backward,0.18,grumpy
12.4,hiding,down,backward,0.49,sleepy
1.2,grooming,tucked,backward,0.49,sleepy
21.9,sleeping,up,forward,0.17,grumpy
14.8,grooming,down,backward,0.24,grumpy
5.4,hunting,tucked,flat,0.13,anxious
13.0,playing,swishing,forward,0.61,playful
10.4,playing,up,flat,0.57,playful
4.5,sleeping,tucked,backward,0.77,sleepy
10.5,grooming,tucked,flat,0.8,happy
1.6,playing,up,rotating,0.47,playful
23.6,playing,up,rotating,0.32,playful
19.7,hiding,puffed,flat,0.12,anxious
20.5,hunting,swishing,rotating,0.56,playful
23.1,playing,up,forward,0.57,playful
17.7,hunting,tucked,rotating,0.25,anxious
3.1,grooming,down,backward,0.7,sleepy
6.5,hiding,swishing,flat,0.27,grumpy
7.0,playing,swishing,forward,0.38,playful
4.2,grooming,down,flat,0.21,grumpy
7.4,hiding,puffed,flat,0.18,anxious
11.5,hiding,down,flat,0.02,grumpy
19.7,grooming,swishing,flat,0.13,grumpy
9.4,hiding,swishing,backward,0.14,grumpy
3.1,hiding,tucked,flat,0.18,anxious
18.3,eating,puffed,backward,0.69,happy
20.8,grooming,up,forward,0.86,happy
19.0,hunting,tucked,rotating,0.37,anxious
11.9,eating,swishing,forward,0.14,grumpy
2.6,playing,swishing,rotating,0.63,playful
20.9,hiding,tucked,rotating,0.4,anxious
14.6,hiding,up,backward,0.71,happy
4.1,hiding,puffed,flat,0.19,anxious
20.0,playing,swishing,rotating,0.12,grumpy
6.4,hunting,swishing,forward,0.92,happy
5.6,hiding,down,flat,0.73,sleepy
10.4,sleeping,tucked,backward,0.57,sleepy
20.0,hunting,swishing,flat,0.11,grumpy
0.9,hunting,up,flat,0.4,anxious
9.5,hiding,tucked,flat,0.34,playful
4.7,sleeping,down,backward,0.48,sleepy
16.6,playing,swishing,rotating,0.56,playful
22.2,grooming,up,forward,0.76,happy
2.3,eating,up,forward,0.9,happy
6.9,eating,up,forward,0.49,playful
6.4,grooming,up,forward,0.92,happy
9.6,playing,down,forward,0.38,anxious
3.9,sleeping,tucked,backward,0.41,sleepy
20.4,hiding,down,backward,0.28,grumpy
7.3,hiding,swishing,flat,0.26,grumpy
18.7,grooming,up,forward,0.65,happy
12.7,hiding,puffed,rotating,0.36,anxious
2.8,playing,swishing,forward,0.42,playful
9.5,playing,tucked,flat,0.27,anxious
16.3,hunting,swishing,rotating,0.59,playful
17.3,grooming,swishing,backward,0.29,grumpy
11.4,hiding,puffed,flat,0.29,anxious
6.8,hiding,swishing,flat,0.26,grumpy
7.2,hunting,up,rotating,0.65,playful
15.8,sleeping,down,backward,0.64,sleepy
13.5,hunting,tucked,forward,0.68,sleepy
0.7,eating,tucked,backward,0.36,anxious
6.2,sleeping,tucked,backward,0.7,sleepy
5.2,eating,up,forward,0.95,happy
0.7,hiding,puffed,rotating,0.17,anxious
12.8,hiding,down,backward,0.22,grumpy
21.3,hiding,tucked,flat,0.16,anxious
23.3,hiding,tucked,rotating,0.14,anxious
5.1,hunting,swishing,rotating,0.37,playful
1.8,playing,up,backward,0.3,grumpy
15.1,grooming,puffed,flat,0.91,happy
10.7,playing,swishing,forward,0.59,playful
6.3,playing,tucked,forward,0.62,playful
16.5,hunting,down,rotating,0.73,happy
7.4,grooming,down,backward,0.71,sleepy
13.7,hiding,puffed,rotating,0.19,anxious
15.0,hiding,swishing,flat,0.18,grumpy
1.8,sleeping,tucked,backward,0.67,sleepy
10.6,hiding,tucked,flat,0.17,anxious
13.1,grooming,up,forward,0.93,happy
22.3,grooming,swishing,flat,0.19,grumpy
1.7,hunting,swishing,rotating,0.6,playful
11.2,hunting,tucked,rotating,0.25,anxious
5.2,grooming,down,backward,0.47,sleepy
17.6,sleeping,swishing,backward,0.91,happy
4.0,hiding,puffed,flat,0.38,anxious
18.2,grooming,down,flat,0.46,playful
18.1,eating,up,forward,0.8,happy
6.0,hunting,swishing,forward,0.41,playful
12.6,hiding,puffed,rotating,0.4,anxious
12.7,grooming,swishing,flat,0.06,grumpy
23.6,hunting,puffed,backward,0.4,anxious
13.1,grooming,tucked,backward,0.53,sleepy
18.0,hiding,down,flat,0.12,grumpy
20.4,eating,down,flat,0.16,anxious
13.3,eating,up,forward,0.9,happy
6.6,hiding,down,forward,0.2,grumpy
20.4,sleeping,up,rotating,0.61,happy
1.7,grooming,swishing,forward,0.48,playful
21.7,hunting,swishing,forward,0.37,playful
15.8,grooming,up,forward,0.68,happy
11.9,eating,up,forward,0.98,happy
1.1,hiding,tucked,rotating,0.39,playful
15.5,hiding,down,backward,0.13,grumpy
17.1,grooming,up,forward,0.92,happy
1.0,hiding,tucked,flat,0.17,anxious
19.8,grooming,tucked,forward,0.15,anxious
22.2,playing,up,rotating,0.31,playful
23.3,grooming,down,backward,0.71,sleepy
1.9,grooming,up,forward,0.82,happy
10.0,grooming,up,forward,0.85,happy
17.5,grooming,swishing,flat,0.12,anxious
7.5,grooming,up,forward,0.8,happy
5.3,grooming,down,backward,0.47,sleepy
20.6,grooming,down,flat,0.06,grumpy
22.2,hiding,puffed,rotating,0.29,anxious
2.1,sleeping,swishing,flat,0.05,grumpy
11.4,grooming,down,backward,0.43,sleepy
12.5,hunting,tucked,backward,0.35,anxious
2.8,grooming,down,flat,0.2,grumpy
16.5,grooming,swishing,backward,0.05,grumpy
9.9,sleeping,tucked,forward,0.78,happy
9.0,grooming,tucked,forward,0.55,playful
11.0,grooming,tucked,forward,0.07,grumpy
14.2,hiding,swishing,backward,0.16,grumpy
10.1,eating,up,forward,0.74,happy
14.4,hiding,puffed,rotating,0.11,anxious
22.3,hunting,swishing,rotating,0.19,grumpy
3.5,hiding,down,backward,0.62,sleepy
20.2,hiding,tucked,flat,0.24,anxious
3.1,playing,up,rotating,0.49,playful
2.2,hiding,down,backward,0.15,grumpy
6.2,playing,swishing,rotating,0.69,playful
20.5,grooming,down,backward,0.51,sleepy
7.2,playing,swishing,rotating,0.37,playful
4.4,eating,down,flat,0.67,sleepy
17.2,hiding,swishing,flat,0.1,grumpy
5.1,grooming,swishing,backward,0.17,grumpy
11.9,sleeping,down,backward,0.42,sleepy
19.4,sleeping,swishing,flat,0.35,playful
23.8,grooming,down,backward,0.69,sleepy
4.3,grooming,up,forward,0.26,anxious
0.9,playing,up,forward,0.41,playful
6.7,hunting,down,backward,0.41,sleepy
7.9,hiding,down,backward,0.1,grumpy
23.8,grooming,up,forward,0.23,grumpy
18.6,hiding,down,flat,0.09,grumpy
18.4,hunting,swishing,forward,0.47,playful
2.3,grooming,down,backward,0.77,sleepy
0.8,grooming,down,backward,0.66,sleepy
20.6,grooming,up,forward,0.84,happy
10.8,hunting,down,rotating,0.11,anxious
6.5,hiding,down,rotating,0.65,playful
10.0,hunting,up,rotating,0.5,playful
13.6,eating,tucked,forward,0.11,grumpy
23.3,eating,up,forward,0.7,happy
3.4,sleeping,tucked,backward,0.74,sleepy
6.3,grooming,down,rotating,0.63,sleepy
1.4,hiding,down,flat,0.89,happy
6.2,grooming,swishing,backward,0.15,grumpy
4.5,grooming,down,rotating,0.96,happy
3.8,hiding,swishing,flat,0.13,grumpy
11.6,hiding,puffed,flat,0.36,anxious
22.7,hiding,puffed,forward,0.38,anxious
4.6,hiding,down,backward,0.12,grumpy
0.9,hiding,tucked,flat,0.33,playful
22.8,grooming,tucked,flat,0.64,happy
8.8,grooming,down,backward,0.53,sleepy
8.9,eating,up,forward,0.62,happy
15.0,grooming,down,forward,0.08,grumpy
18.5,eating,up,forward,0.81,happy
21.8,hiding,down,backward,0.16,grumpy
16.8,sleeping,down,backward,0.57,sleepy
3.0,hunting,up,forward,0.52,playful
15.1,hunting,tucked,rotating,0.36,anxious
0.9,grooming,tucked,backward,0.75,sleepy
15.6,grooming,down,backward,0.74,sleepy
4.9,eating,puffed,backward,0.58,playful
7.0,hiding,puffed,rotating,0.16,anxious
7.4,grooming,up,forward,0.84,happy
0.1,playing,up,flat,0.11,anxious
11.7,grooming,down,backward,0.59,sleepy
14.4,hiding,tucked,rotating,0.23,anxious
4.3,hunting,swishing,rotating,0.45,playful
18.3,eating,up,forward,0.67,happy
9.7,grooming,down,flat,0.02,grumpy
4.8,playing,down,backward,0.68,happy
9.0,sleeping,down,backward,0.63,sleepy
20.8,hunting,swishing,backward,0.21,grumpy
1.7,sleeping,tucked,backward,0.47,sleepy
1.6,grooming,up,forward,0.89,happy
1.4,grooming,down,backward,0.01,grumpy
10.2,grooming,up,forward,0.82,happy
3.6,grooming,swishing,backward,0.3,grumpy
16.0,hunting,up,forward,0.65,playful
12.5,hunting,up,rotating,0.45,playful
8.8,playing,up,rotating,0.4,playful
16.7,hunting,puffed,forward,0.04,grumpy
1.1,hiding,tucked,flat,0.1,anxious
18.0,eating,up,forward,0.62,happy
0.3,hiding,tucked,backward,0.54,sleepy
3.0,hiding,puffed,rotating,0.16,anxious
21.4,grooming,down,backward,0.23,grumpy
7.9,hiding,tucked,rotating,0.19,anxious
12.9,hunting,swishing,rotating,0.47,playful
12.7,sleeping,down,backward,0.49,sleepy
4.8,eating,up,forward,0.65,happy
1.6,hunting,up,rotating,0.32,anxious
19.9,grooming,up,forward,0.9,happy
23.0,grooming,down,backward,0.68,sleepy
23.9,hiding,down,backward,0.23,grumpy
13.7,sleeping,down,flat,0.49,playful
15.8,eating,tucked,rotating,0.53,playful
12.9,playing,swishing,forward,0.55,playful
21.0,hunting,tucked,flat,0.26,anxious
17.6,hiding,swishing,backward,0.07,grumpy
10.7,playing,swishing,rotating,0.44,playful
1.2,playing,swishing,forward,0.45,playful
12.1,eating,up,forward,0.68,playful
9.2,hiding,up,forward,0.24,grumpy
23.0,grooming,down,flat,0.18,grumpy
21.2,eating,up,forward,0.97,happy
19.7,grooming,up,forward,0.68,happy
19.9,playing,up,rotating,0.68,playful
12.8,hiding,up,flat,0.38,anxious
2.9,grooming,down,backward,0.57,sleepy
5.4,sleeping,down,rotating,0.04,grumpy
8.8,grooming,down,forward,0.63,sleepy
21.7,hunting,tucked,flat,0.37,anxious
16.6,grooming,tucked,backward,0.66,sleepy
9.1,sleeping,puffed,rotating,0.33,anxious
8.2,hunting,tucked,backward,0.47,playful
4.2,sleeping,tucked,rotating,0.69,playful
15.4,hiding,down,flat,0.15,grumpy
6.3,playing,up,rotating,0.31,playful
17.9,hunting,tucked,rotating,0.3,anxious
2.4,hunting,puffed,flat,0.11,anxious
18.0,hiding,down,backward,0.17,grumpy
16.7,eating,up,forward,0.85,happy
20.1,hunting,up,forward,0.31,playful
8.0,hunting,up,backward,0.58,sleepy
21.4,playing,tucked,forward,0.91,happy
2.1,hunting,up,rotating,0.67,playful
16.0,grooming,down,flat,0.12,grumpy
3.5,grooming,tucked,backward,0.41,sleepy
21.3,grooming,swishing,flat,0.44,playful
11.9,grooming,down,backward,0.51,sleepy
21.1,eating,puffed,flat,0.37,anxious
13.7,sleeping,down,backward,0.77,sleepy
6.9,eating,up,forward,0.74,happy
15.1,playing,tucked,backward,0.37,anxious
19.8,hunting,tucked,flat,0.16,anxious
20.7,hiding,down,flat,0.17,grumpy
15.9,hiding,swishing,flat,0.24,grumpy
19.5,grooming,up,forward,0.77,happy
13.6,grooming,down,flat,0.12,grumpy
9.5,sleeping,down,rotating,0.46,playful
1.7,playing,swishing,rotating,0.66,playful
9.6,hunting,tucked,rotating,0.23,anxious
19.6,playing,up,rotating,0.49,playful
3.7,hunting,swishing,rotating,0.36,anxious
16.1,grooming,swishing,flat,0.7,happy
9.2,eating,up,forward,0.98,happy
4.0,grooming,up,forward,0.95,happy
16.5,hunting,puffed,backward,0.75,sleepy
11.2,hunting,puffed,rotating,0.31,anxious
23.3,hiding,down,forward,0.56,playful
5.4,playing,puffed,forward,0.94,happy
12.3,grooming,swishing,backward,0.17,grumpy
17.8,grooming,tucked,backward,0.47,sleepy
0.1,playing,up,forward,0.66,playful
11.0,playing,tucked,forward,0.08,grumpy
2.2,sleeping,tucked,backward,0.17,grumpy
18.8,hunting,tucked,flat,0.21,anxious
5.4,hunting,up,rotating,0.11,anxious
19.1,hunting,swishing,forward,0.65,playful
12.6,grooming,up,forward,0.87,happy
1.7,hunting,puffed,rotating,0.19,anxious
20.2,grooming,up,forward,0.87,happy
1.2,playing,up,forward,0.65,playful
6.2,hunting,tucked,rotating,0.25,anxious
8.4,eating,up,rotating,0.29,anxious
22.4,hunting,swishing,forward,0.82,happy
23.7,hunting,puffed,rotating,0.32,anxious
8.5,eating,up,forward,0.85,happy
1.5,hunting,swishing,forward,0.5,playful
7.9,grooming,down,backward,0.5,sleepy
21.0,hunting,puffed,forward,0.32,playful
6.8,hunting,tucked,forward,0.17,grumpy
16.3,hunting,tucked,rotating,0.19,anxious
11.2,hiding,puffed,rotating,0.32,anxious
10.8,hiding,down,flat,0.07,grumpy
15.6,playing,swishing,rotating,0.56,playful
10.4,playing,swishing,forward,0.61,playful
5.6,eating,swishing,forward,0.54,playful
10.4,playing,swishing,forward,0.45,playful
15.9,hunting,tucked,rotating,0.28,grumpy
12.6,sleeping,down,backward,0.57,sleepy
9.9,grooming,up,backward,0.35,playful
11.0,playing,swishing,forward,0.55,playful
6.6,eating,down,rotating,0.69,happy
3.9,eating,up,forward,0.6,happy
5.3,playing,tucked,backward,0.52,playful
3.5,eating,puffed,backward,0.04,grumpy
23.7,grooming,up,forward,0.84,happy
10.1,eating,puffed,backward,0.29,anxious
9.1,hiding,down,backward,0.3,grumpy
22.1,eating,up,forward,0.62,happy
12.8,grooming,tucked,backward,0.46,sleepy
5.9,grooming,up,forward,0.66,happy
0.2,hiding,down,flat,0.3,grumpy
16.4,sleeping,tucked,backward,0.64,sleepy
14.3,eating,up,forward,0.88,happy
11.3,hiding,tucked,flat,0.2,grumpy
23.7,hunting,up,rotating,0.4,sleepy
10.0,sleeping,puffed,rotating,0.09,grumpy
3.7,grooming,swishing,forward,0.95,happy
12.4,sleeping,down,backward,0.77,sleepy
21.9,eating,tucked,forward,0.7,happy
14.2,grooming,up,forward,0.64,happy
6.8,eating,up,forward,0.73,happy
3.1,grooming,down,backward,0.86,happy
17.0,grooming,swishing,flat,0.2,grumpy
2.4,grooming,swishing,flat,0.08,grumpy
13.2,grooming,swishing,forward,0.12,anxious
7.4,sleeping,tucked,backward,0.73,sleepy
5.0,hunting,puffed,flat,0.3,anxious
5.9,hunting,up,rotating,0.54,playful
14.2,sleeping,down,backward,0.71,sleepy
21.3,sleeping,swishing,rotating,0.42,playful
22.8,hunting,swishing,forward,0.58,playful
17.8,sleeping,tucked,forward,0.12,grumpy
